,PSNR
0,37.889585587367
1,40.5015821805615
2,39.1353482599112
3,40.7018130031557
4,36.727447089349
5,35.4042725478842
6,36.8762122595013
7,40.4897002063119
8,41.0483908801294
9,40.059789854708
10,35.6458746725176
11,36.9641262421071
12,35.667164146761
13,39.4969528101624
14,43.9080340651818
15,41.8736598115437
16,36.1819534536232
17,39.9386332112456
18,40.0469798248582
19,40.1945506358245
20,33.9673801190707
21,37.6185021070642
22,35.0500075133167
23,41.3761143596784
24,39.0738037094627
25,36.7627798977269
26,40.1655410985476
27,39.8522583102592
28,36.9198608723983
29,37.5467354420691
30,35.9895024951333
31,39.7465242049811
32,41.3489347005809
33,39.4588304065795
34,40.82539431538
35,40.3450739230565
36,41.2861743680099
37,39.4842400652437
38,33.5797486763145
39,35.4774993771118
40,39.9906760474207
41,40.9684591237165
42,39.3452412822542
43,40.0407007395279
44,38.6732108225032
45,40.7543782702186
46,38.1748116499439
47,41.3773776007568
48,40.5450605053832
49,36.6606612335473
50,39.6799049824413
51,33.7907343840554
52,38.6593016566317
53,42.5929947054842
54,39.7505306626057
55,40.2834665490362
56,39.0898427977026
57,39.5650584292176
58,39.1316614871182
59,37.5432825635805
60,41.1188477021732
61,40.2929007611223
62,39.7793680263159
63,37.684526178001
64,38.6318918657312
65,41.2662003772222
66,40.8675277337998
67,39.6081333635165
68,42.7642262712525
69,40.4480038096213
70,36.4385716449261
71,38.1208255682
72,40.8308338146901
73,39.9054953098436
74,38.8506747572507
75,36.339508298059
76,37.9905369069861
77,41.3781887640423
78,34.7151470901986
79,37.3096879517405
80,43.1569873439843
81,41.0975132329599
82,39.6695451544173
83,40.0378811180068
84,39.2419533105445
85,41.0554385736619
86,40.0814248346204
87,39.4351116402699
88,39.6833751974462
89,40.7543715135266
90,40.9278320807755
91,40.4224775345398
92,39.9359266298507
93,41.6687383287088
94,40.1838578168357
95,40.1159702279399
96,40.5156482402849
97,36.3633446074917
98,38.7019826817335
99,37.6957289445453
100,39.9535622779955
101,40.0919899203877
102,43.329322027186
103,41.0274744543628
104,41.7793954688858
105,38.6818095963736
106,39.0314519352781
107,39.5399391141218
108,37.8086962957742
109,38.9730309033149
110,41.2206242875921
111,40.809198685462
112,41.0540158128297
113,40.7700787752109
114,39.3117119071464
115,39.0160273624823
116,40.0952628627821
117,38.6475577776572
118,37.5964338879019
119,41.2699915307573
120,34.959992612557
121,41.3163797959089
122,42.0716360904118
123,39.9955667116532
124,37.6295636041308
125,40.3334801127193
126,37.6918835475607
127,38.8219800761641
128,40.2042131043318
129,35.6329308652037
130,40.01084115074
131,40.1975541038782
132,40.5702963832658
133,38.7256874629216
134,36.1551125996678
135,40.8138164237736
136,42.0652032517705
137,38.2454036220743
138,35.1371400382609
139,38.6960035634547
140,35.6021433244239
141,36.3719312533922
142,38.1460472551261
143,41.0866718179288
144,38.9872168541185
145,41.7280094394069
146,42.7677051412347
147,41.7793783582828
148,39.6990692883202
149,40.2860589908541
150,40.3354521913059
151,41.3920682859972
152,40.5218881459828
153,39.0046342090674
154,40.8532788077871
155,35.343710779397
156,40.6209273343875
157,39.9183037842622
158,37.1896902342708
159,40.2547984075626
160,36.8978468866439
161,40.6425674926519
162,37.7973354928597
163,39.9285962679941
164,36.4239951985061
165,42.7582253315202
166,41.2745209153353
167,39.5113849104698
168,40.9527298447764
169,40.7755817874915
170,41.0198147063172
171,39.5288423885205
172,40.4661977322689
173,41.5738751600625
174,41.2721186113428
175,38.8841370450545
176,38.9798868246245
177,41.2246845444026
178,39.5988880693942
179,40.9067661115819
180,40.4110625774707
181,38.9607035941356
182,40.5654774601131
183,41.1639009755903
184,38.5571845961546
185,35.6134915347657
186,41.1001391057781
187,40.5623540046102
188,36.1096752779034
189,39.5080747418536
190,41.6572983030516
191,38.6296108457869
192,41.8531838638646
193,41.3945143948458
194,40.4570202604031
195,35.7434072361988
196,38.4414674524296
197,38.478402513446
198,36.2265825365584
199,42.0442563780968
200,39.9186159107607
201,39.3382839928747
202,40.1275993314707
203,41.4561033324347
204,41.8490263374345
205,34.0545262099811
206,40.8449643256241
207,41.1421377229185
208,38.709300986333
209,41.4934819446936
210,39.2135308093623
211,39.8786378333088
212,41.2432277768051
213,40.5683539308196
214,40.7772184294446
215,41.5163592258128
216,35.2166044229585
217,39.8260462369166
218,38.4054988426422
219,40.5102475645803
220,40.1672583329739
221,41.4512775334366
222,41.4141841472655
223,39.1185980829716
224,38.6766872338335
225,37.4288427495031
226,38.0636606849585
227,38.5013852762644
228,40.5273161508148
229,41.0459044867903
230,41.026629098299
231,41.4973004961013
232,41.9584770958065
233,42.5669990418039
234,40.3864843511171
235,40.4294751067195
236,38.6243034638463
237,41.505465742496
238,41.2447139049715
239,41.2464464723258
240,38.2455059998935
241,41.9648116984638
242,41.7283941447378
243,40.9448159206986
244,41.9403852196106
245,36.3454753191885
246,40.5713165186952
247,38.2720443130055
248,41.3360070380915
249,34.7899632152465
250,40.0450340301587
251,40.3699655316772
252,36.9371181662907
253,39.1735041021361
254,36.5791506045439
255,40.6721886711997
256,36.3507801014269
257,38.3870203534949
258,41.0107597860697
259,41.5349681801286
260,41.2820791312597
261,39.3593829497631
262,37.3673688107597
263,41.5827213209613
264,41.2593148032127
265,39.2030049371645
266,42.2456951005994
267,39.2308017492438
268,39.6070489322557
269,41.8810277000221
270,36.9559205113441
271,40.4633723146663
272,37.620041667202
273,41.3409267730208
274,35.531752902937
275,39.9433422590441
276,40.5099409821283
277,39.7401670211589
278,40.5718088602465
279,37.9930262458532
280,40.8016101146295
281,40.153145242225
282,41.785109901765
283,36.4930396712913
284,37.3570890168421
285,41.3933440044751
286,37.2121504433355
287,34.1384980235482
288,40.7227339815527
289,38.8117558417882
290,37.3985016329927
291,36.7941058864986
292,41.024737535756
293,40.1755767554115
294,36.7570121762625
295,37.9935378815909
296,40.0833233227097
297,41.611047034256
298,37.8508279790671
299,37.7794020120762
300,37.1973790331552
301,40.0919058081054
302,38.7660102772818
303,40.1514482802162
304,40.8519242022429
305,40.6188966168655
306,41.002625037434
307,42.9642134313411
308,39.8513224736071
309,40.4641527552395
310,40.1034124047066
311,41.3279226513325
312,38.0874820079164
313,39.8959642802898
314,43.6407778365034
315,35.3813659869477
316,35.409327595113
317,39.2203906036492
318,41.5923106988761
319,38.7381459706729
320,36.5780062563284
321,39.068163437219
322,34.8321458137181
323,40.5887963941769
324,40.3116630861598
325,38.445388448017
326,39.7638280105564
327,42.4113842893018
328,35.9025421984272
329,35.0928428730101
330,42.0407932060127
331,40.4710880873154
332,39.36187063454
333,37.3829578422661
334,41.4142077432161
335,41.0400050014505
336,38.466357097913
337,42.2660835754322
338,38.7847349553839
339,39.9006883238089
340,41.5471604249899
341,36.261510392649
342,39.295009996977
343,39.099979907146
344,40.4201089339638
345,39.4426929558892
346,38.9550363220287
347,40.8470311007337
348,36.3139873544638
349,37.9285600083668
350,35.478398572297
351,42.8493955134447
352,41.9383969111992
353,40.6783822185
354,38.3934712348561
355,42.4244907641153
356,35.0323581816669
357,35.8971014953633
358,40.6315089676024
359,41.0786958992116
360,39.926518508367
361,38.5775613064569
362,34.9561443883775
363,41.0680066062711
364,36.7789887832131
365,37.8422012835526
366,39.2645464707233
367,37.9304286323862
368,42.0249940494545
369,40.1420373330311
370,40.3950068495684
371,37.8802488912432
372,38.1621145049181
373,35.8842465666405
374,40.4946171129881
375,37.8731050805302
376,41.7344863301625
377,40.5775980582191
378,40.1823649938693
379,37.2442455134861
380,41.1892452041427
381,35.9177138017299
382,37.2986882835041
383,40.2484252635333
384,39.3341066803556
385,40.7697397300438
386,40.0411880547684
387,40.772249291282
388,40.588780134367
389,40.9574249494013
390,42.1387842593148
391,41.147060733366
392,41.0396550390642
393,37.4456809291422
394,40.2162065908652
395,39.1283727831978
396,38.9322410317263
397,38.3512571422699
398,40.4329373399248
399,38.821365250144
400,39.5236710591075
401,39.1183013802188
402,41.673323624989
403,33.8091520755597
404,36.5971380944402
405,35.1390199721671
406,42.1695519461341
407,37.6877247353629
408,41.342075384597
409,42.8764658715998
410,40.1330683486769
411,40.8529539403937
412,38.6554078089075
413,39.0883094223754
414,39.7150250607746
415,39.1096364068254
416,40.6188704202629
417,40.5701085749256
418,40.5644360586593
419,37.566649431299
420,38.0299251386939
421,39.2148791492911
422,41.3020268109123
423,34.364489435253
424,40.6077478780883
425,40.2580065709622
426,38.0818859526126
427,41.3326363929144
428,37.9679745106665
429,38.714550692255
