,PSNR
0,36.9019865975543
1,41.7538327453147
2,37.5194579352314
3,42.0700176613156
4,35.7847083986714
5,33.1839438585019
6,37.8203253842003
7,41.641588612903
8,42.3826783458121
9,40.1424433260008
10,34.2383083580521
11,35.9750862338377
12,31.9022092564222
13,40.7403859032961
14,45.3107522928981
15,43.252592511026
16,37.4043111184777
17,41.3084545673561
18,40.8359994464188
19,41.1004701304172
20,34.3017411663953
21,38.537005958424
22,31.6265762367425
23,42.745353679398
24,40.4231113566236
25,33.1659824566031
26,40.0275199661886
27,40.5987037870763
28,35.8838247973343
29,38.4870147681248
30,37.1478888485141
31,41.0697126382757
32,42.612603165795
33,40.7570181666059
34,42.2031721886626
35,41.591396396436
36,42.6551065788258
37,38.9628712323738
38,30.0629962544038
39,35.942944714835
40,41.3376218735857
41,42.3478297696806
42,38.5674974485914
43,41.2960048241812
44,39.9629960430192
45,42.0969165476438
46,36.9417640608766
47,42.7585216048818
48,40.9790994545594
49,34.4278272461666
50,41.0077706180592
51,29.203272556334
52,39.8651745423124
53,43.971125311866
54,41.1207228953071
55,41.5954210520845
56,40.402501546068
57,40.8986412880343
58,40.0305001832587
59,38.5066929414717
60,42.4568330507247
61,41.5044738471983
62,40.4755025615154
63,37.5843092328202
64,36.4352722273111
65,42.3276930256722
66,42.0632914708614
67,40.9639055477153
68,44.1462591960388
69,40.9234275274292
70,33.2714758424238
71,39.1355720197668
72,42.1938030537551
73,41.2551701612171
74,40.1713734753252
75,35.5753469579609
76,38.9389145413815
77,42.7635473278528
78,35.3666161520613
79,38.1938391497176
80,44.5513353231861
81,42.4600736753482
82,40.9349045629844
83,41.2584232217352
84,40.3754535384634
85,42.2857520171167
86,41.4317517315103
87,40.5190816945104
88,40.5571860260715
89,41.8404560974082
90,42.1414786638106
91,41.7888369397208
92,41.2368934384348
93,42.7949033636826
94,41.5316476107311
95,40.6879652484543
96,41.8422268896033
97,37.5477075920514
98,39.9067855109664
99,38.0174706058836
100,41.223945290282
101,41.3545057707654
102,44.7366280238675
103,42.3979491492337
104,43.0857998531299
105,39.8240265044753
106,40.1410886995719
107,40.535497878086
108,37.1003607597967
109,40.0019628791801
110,41.5491306409883
111,41.7381007955611
112,42.3735280163809
113,42.1186551646074
114,40.5790565929531
115,40.0058227627755
116,41.4470122862249
117,39.417261750481
118,37.9923548666529
119,42.6225995418004
120,35.5752432268183
121,42.7066056679824
122,43.4385329909036
123,41.3641792730868
124,38.1557552475517
125,41.6875036900959
126,37.2672551263529
127,37.4223275115007
128,41.5232226659389
129,36.7836615976778
130,40.8519455869965
131,41.5726203035563
132,41.7400323083344
133,38.1783410191728
134,34.6720204033294
135,39.1896462042208
136,43.4516971246058
137,36.7523715629069
138,36.0248491102404
139,39.8961382122499
140,36.7733473275116
141,35.4517923306766
142,38.6000361744375
143,42.4646624717266
144,39.9480808260674
145,43.0754470229203
146,44.1591236894264
147,43.1610045157362
148,40.3144864290599
149,41.6319076440074
150,41.6879255251943
151,42.6659660177149
152,39.8490172264725
153,38.1995176645446
154,41.6195262942149
155,36.4954628500105
156,41.9927665583743
157,40.0616285018257
158,37.0508190934839
159,41.6182448596166
160,38.2049389442582
161,41.7968483824375
162,36.7887458153149
163,41.0026117578483
164,35.4769944474493
165,44.158831648027
166,42.6635768805916
167,39.752509361506
168,42.2700937169601
169,41.9813576895048
170,42.4086312387438
171,40.6228668644985
172,41.8240626074959
173,42.9779317539764
174,42.640770927891
175,37.7995307668906
176,39.116146985632
177,42.5892797666868
178,38.5141229347271
179,42.1564771093965
180,41.0488448081458
181,39.7376659785893
182,41.7003679143914
183,42.529497882716
184,39.7169647458365
185,31.9476126585403
186,42.206275867979
187,40.6483226026507
188,33.9191001800163
189,40.8216534680681
190,42.9922307909332
191,37.5172407345039
192,43.2229871740046
193,42.779662027698
194,41.0525399609353
195,32.9693890277765
196,38.7677035733485
197,37.5175688350017
198,35.9746823222367
199,43.4400997218617
200,40.2081672377463
201,40.5719258890751
202,41.4179197433317
203,42.831206842067
204,43.2393226417301
205,31.1829862459504
206,42.2150930347219
207,42.5325359731063
208,38.8956055847376
209,42.8772512727051
210,40.4771931768643
211,40.6152707888986
212,42.6017258486944
213,41.9299754125567
214,42.1529429424373
215,42.901231356631
216,35.5874023721547
217,41.1273113512914
218,36.992735109384
219,41.8838350785133
220,41.4183482649838
221,42.8426610201097
222,42.36767868797
223,40.4571230225521
224,39.8552739093499
225,37.6884913914094
226,36.3650304900546
227,38.4827105752205
228,40.6051045763175
229,42.4118497615928
230,42.1276649917091
231,42.8718523113115
232,43.3355193259996
233,43.9052807720945
234,41.6844042936659
235,41.7679467016715
236,37.902923795996
237,42.8551068119293
238,42.5830879481493
239,42.1276529146653
240,39.4430151668407
241,43.2611322068032
242,43.1158849503478
243,42.3095702246441
244,43.2805788735965
245,33.6106127677773
246,41.9207914511014
